15:53:42.791613 ------------------------------------------------------------
15:53:42.791775 Client connecting to 10.0.1.24, UDP port 5001 with pid 130512
15:53:42.791860 Binding to local address 10.60.0.1
15:53:42.791890 Sending 200 byte datagrams, IPG target: 305.18 us (kalman adjust)
15:53:42.791921 UDP buffer size:  208 KByte (default)
15:53:42.791971 ------------------------------------------------------------
15:53:42.792002 [  3] local 10.60.0.1 port 49678 connected with 10.0.1.24 port 5001
15:53:42.792032 [ ID] Interval            Transfer     Bandwidth      Write/Err  PPS
15:53:43.026030 [  3] 0.2500-0.2549 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3320 pps
15:53:43.026060 [  3] 0.2549-0.2599 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3491 pps
15:53:43.046126 [  3] 0.2599-0.2649 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3264 pps
15:53:43.046332 [  3] 0.2649-0.2699 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3512 pps
15:53:43.046374 [  3] 0.2699-0.2749 sec  2.73 KBytes  4.48 Mbits/sec  14/0     2878 pps
15:53:43.046410 [  3] 0.2749-0.2799 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3715 pps
15:53:43.067167 [  3] 0.2799-0.2849 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3147 pps
15:53:43.067284 [  3] 0.2849-0.2899 sec  3.12 KBytes  5.12 Mbits/sec  16/0     2980 pps
15:53:43.067317 [  3] 0.2899-0.2949 sec  3.32 KBytes  5.44 Mbits/sec  17/0     2902 pps
15:53:43.067343 [  3] 0.2949-0.2999 sec  3.12 KBytes  5.12 Mbits/sec  16/0     4198 pps
15:53:43.087489 [  3] 0.2999-0.3049 sec  3.12 KBytes  5.12 Mbits/sec  16/0     2690 pps
15:53:43.087989 [  3] 0.3049-0.3099 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3859 pps
15:53:43.088244 [  3] 0.3099-0.3149 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3596 pps
15:53:43.088379 [  3] 0.3149-0.3199 sec  2.54 KBytes  4.16 Mbits/sec  13/0     2386 pps
15:53:43.107987 [  3] 0.3199-0.3249 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3948 pps
15:53:43.108079 [  3] 0.3249-0.3299 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3665 pps
15:53:43.108109 [  3] 0.3299-0.3349 sec  2.93 KBytes  4.80 Mbits/sec  15/0     2934 pps
15:53:43.108136 [  3] 0.3349-0.3399 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3303 pps
15:53:43.129457 [  3] 0.3399-0.3449 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3071 pps
15:53:43.129622 [  3] 0.3449-0.3499 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3349 pps
