16:35:16.681468 ------------------------------------------------------------
16:35:16.681574 Client connecting to 10.0.1.24, TCP port 5001 with pid 142514
16:35:16.681587 Binding to local address 10.60.0.1
16:35:16.681596 Write buffer size:  200 Byte
16:35:16.681604 TCP window size: 85.0 KByte (default)
16:35:16.681611 ------------------------------------------------------------
16:35:16.681619 [  3] local 10.60.0.1 port 45481 connected with 10.0.1.24 port 5001 (ct=2127.68 ms)
16:35:16.681627 [ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
16:35:16.909201 [  3] 0.2200-0.2250 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17620 us  36.33
16:35:16.909212 [  3] 0.2250-0.2300 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17620 us  38.60
16:35:16.909220 [  3] 0.2300-0.2350 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17620 us  36.33
16:35:16.930485 [  3] 0.2350-0.2400 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17620 us  36.33
16:35:16.930593 [  3] 0.2400-0.2450 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17773 us  38.27
16:35:16.930621 [  3] 0.2450-0.2500 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17773 us  36.02
16:35:16.930631 [  3] 0.2500-0.2549 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17773 us  38.27
16:35:16.950613 [  3] 0.2549-0.2599 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17773 us  36.02
16:35:16.950712 [  3] 0.2599-0.2649 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17794 us  35.97
16:35:16.950725 [  3] 0.2649-0.2699 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17794 us  38.22
16:35:16.950735 [  3] 0.2699-0.2749 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17794 us  35.97
16:35:16.971473 [  3] 0.2749-0.2799 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17794 us  38.22
16:35:16.971592 [  3] 0.2799-0.2849 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17609 us  36.35
16:35:16.971608 [  3] 0.2849-0.2899 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17609 us  36.35
16:35:16.971617 [  3] 0.2899-0.2949 sec  1000 Bytes  1.60 Mbits/sec  5/0          0       30K/17609 us  11.36
16:35:16.971625 [  3] 0.2949-0.2999 sec  5.47 KBytes  8.96 Mbits/sec  28/0          0       30K/17609 us  63.62
16:35:16.991797 [  3] 0.2999-0.3049 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17113 us  37.41
16:35:16.991862 [  3] 0.3049-0.3099 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17113 us  39.74
16:35:16.991873 [  3] 0.3099-0.3149 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17113 us  37.41
16:35:16.991881 [  3] 0.3149-0.3199 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17113 us  39.74
16:35:17.012087 [  3] 0.3199-0.3249 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17113 us  37.41
16:35:17.012153 [  3] 0.3249-0.3299 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17822 us  35.92
16:35:17.012178 [  3] 0.3299-0.3349 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17822 us  38.16
16:35:17.012191 [  3] 0.3349-0.3399 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17822 us  35.92
16:35:17.033705 [  3] 0.3399-0.3449 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17822 us  35.92
16:35:17.033770 [  3] 0.3449-0.3499 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17571 us  38.71
16:35:17.033799 [  3] 0.3499-0.3549 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17571 us  36.43
16:35:17.033808 [  3] 0.3549-0.3599 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17571 us  38.71
16:35:17.054116 [  3] 0.3599-0.3649 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17571 us  36.43
16:35:17.054195 [  3] 0.3649-0.3699 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17306 us  36.99
16:35:17.054207 [  3] 0.3699-0.3749 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17306 us  39.30
16:35:17.054215 [  3] 0.3749-0.3799 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17306 us  36.99
16:35:17.074905 [  3] 0.3799-0.3849 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17306 us  39.30
16:35:17.074991 [  3] 0.3849-0.3899 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17610 us  36.35
16:35:17.075002 [  3] 0.3899-0.3949 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17610 us  36.35
16:35:17.075010 [  3] 0.3949-0.3999 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17610 us  38.62
16:35:17.095674 [  3] 0.3999-0.4049 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17610 us  36.35
16:35:17.095746 [  3] 0.4049-0.4099 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17810 us  35.94
16:35:17.095757 [  3] 0.4099-0.4149 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17810 us  38.19
16:35:17.095767 [  3] 0.4149-0.4199 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17810 us  35.94
16:35:17.116369 [  3] 0.4199-0.4249 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17810 us  38.19
16:35:17.116432 [  3] 0.4249-0.4299 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17781 us  36.00
16:35:17.116443 [  3] 0.4299-0.4349 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17781 us  36.00
16:35:17.116450 [  3] 0.4349-0.4399 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17781 us  38.25
16:35:17.116461 [  3] 0.4399-0.4449 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17781 us  36.00
