------------------------------------------------------------
Server listening on UDP port 5001 with pid 130192
Binding to local address 10.0.1.24
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.0.1.24 port 5001 connected with 10.60.0.1 port 49678
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 0.1650-0.1700 sec  3.12 KBytes  5.12 Mbits/sec   0.196 ms    0/   16 (0%)  8.467/ 7.484/ 8.664/ 0.307 ms 3084 pps  75.60
[  3] 0.1700-0.1750 sec  2.73 KBytes  4.48 Mbits/sec   0.215 ms    0/   14 (0%)  7.942/ 6.652/ 8.238/ 0.503 ms 7081 pps  70.53
[  3] 0.1750-0.1800 sec  4.49 KBytes  7.36 Mbits/sec   0.386 ms    0/   23 (0%) 10.453/ 6.652/13.425/ 2.014 ms 2911 pps  88.03
[  3] 0.1800-0.1850 sec  2.93 KBytes  4.80 Mbits/sec   0.304 ms    0/   15 (0%)  7.834/ 6.864/ 7.898/ 0.463 ms 2358 pps  76.60
[  3] 0.1850-0.1900 sec  2.93 KBytes  4.80 Mbits/sec   0.258 ms    0/   15 (0%)  8.225/ 6.956/ 8.070/ 0.320 ms 3836 pps  72.97
[  3] 0.1900-0.1950 sec  1.56 KBytes  2.56 Mbits/sec   0.339 ms    0/    8 (0%)  8.970/ 7.419/ 9.960/ 0.815 ms 1726 pps  35.68
[  3] 0.1950-0.2000 sec  5.08 KBytes  8.32 Mbits/sec   0.317 ms    0/   26 (0%)  9.022/ 7.355/ 9.960/ 0.773 ms 5092 pps  115.30
[  3] 0.2000-0.2050 sec  2.73 KBytes  4.48 Mbits/sec   0.431 ms    0/   14 (0%)  8.570/ 7.113/ 8.922/ 0.598 ms 2491 pps  65.35
[  3] 0.2050-0.2100 sec  3.32 KBytes  5.44 Mbits/sec   0.432 ms    0/   17 (0%)  8.021/ 6.207/ 8.691/ 0.743 ms 4138 pps  84.79
[  3] 0.2100-0.2150 sec  3.71 KBytes  6.08 Mbits/sec   0.324 ms    0/   19 (0%)  7.582/ 6.573/ 7.829/ 0.414 ms 3293 pps  100.25
[  3] 0.2150-0.2200 sec  3.12 KBytes  5.12 Mbits/sec   0.208 ms    0/   16 (0%)  7.987/ 6.890/ 7.923/ 0.429 ms 3469 pps  80.14
[  3] 0.2200-0.2250 sec  3.12 KBytes  5.12 Mbits/sec   0.236 ms    0/   16 (0%)  7.960/ 6.727/ 8.421/ 0.586 ms 3102 pps  80.41
[  3] 0.2250-0.2300 sec  3.71 KBytes  6.08 Mbits/sec   0.543 ms    0/   19 (0%)  8.813/ 6.393/10.168/ 1.108 ms 2437 pps  86.25
[  3] 0.2300-0.2350 sec  2.73 KBytes  4.48 Mbits/sec   0.417 ms    0/   14 (0%)  8.849/ 6.978/ 9.874/ 0.955 ms 3535 pps  63.30
[  3] 0.2350-0.2400 sec  2.93 KBytes  4.80 Mbits/sec   0.301 ms    0/   15 (0%)  8.519/ 7.588/ 8.864/ 0.353 ms 5263 pps  70.45
[  3] 0.2400-0.2450 sec  3.71 KBytes  6.08 Mbits/sec   0.286 ms    0/   19 (0%)  8.079/ 6.934/ 8.809/ 0.480 ms 2889 pps  94.09
[  3] 0.2450-0.2500 sec  2.73 KBytes  4.48 Mbits/sec   0.244 ms    0/   14 (0%)  8.065/ 6.791/ 7.873/ 0.287 ms 3564 pps  69.45
[  3] 0.2500-0.2549 sec  3.12 KBytes  5.12 Mbits/sec   0.201 ms    0/   16 (0%)  8.024/ 6.905/ 7.963/ 0.477 ms 3429 pps  79.78
[  3] 0.2549-0.2599 sec  3.32 KBytes  5.44 Mbits/sec   0.273 ms    0/   17 (0%)  7.978/ 6.896/ 7.909/ 0.383 ms 3368 pps  85.25
[  3] 0.2599-0.2649 sec  3.12 KBytes  5.12 Mbits/sec   0.211 ms    0/   16 (0%)  8.299/ 7.257/ 7.967/ 0.202 ms 3219 pps  77.13
[  3] 0.2649-0.2699 sec  3.91 KBytes  6.40 Mbits/sec   0.278 ms    0/   20 (0%)  7.892/ 6.486/ 8.068/ 0.515 ms 3985 pps  101.39
[  3] 0.2699-0.2749 sec  2.93 KBytes  4.80 Mbits/sec   0.370 ms    0/   15 (0%)  7.884/ 6.752/ 8.454/ 0.546 ms 2675 pps  76.12
[  3] 0.2749-0.2799 sec  1000 Bytes  1.60 Mbits/sec   0.326 ms    0/    5 (0%)  8.947/ 6.860/ 7.873/ 0.437 ms 89286 pps  22.36
[  3] 0.2799-0.2849 sec  2.54 KBytes  4.16 Mbits/sec   0.702 ms    0/   13 (0%) 14.072/ 6.860/15.281/ 1.136 ms 1035 pps  36.96
[  3] 0.2849-0.2899 sec  5.66 KBytes  9.28 Mbits/sec   0.380 ms    0/   29 (0%) 11.254/ 7.038/14.725/ 2.547 ms 14435 pps  103.09
[  3] 0.2899-0.2949 sec  3.32 KBytes  5.44 Mbits/sec   0.313 ms    0/   17 (0%)  8.220/ 7.005/ 8.340/ 0.481 ms 2941 pps  82.74
[  3] 0.2949-0.2999 sec  3.12 KBytes  5.12 Mbits/sec   0.340 ms    0/   16 (0%)  7.991/ 6.642/ 8.112/ 0.484 ms 3945 pps  80.10
