16:31:22.568712 ------------------------------------------------------------
16:31:22.568911 Client connecting to 10.0.1.24, TCP port 5001 with pid 141051
16:31:22.568953 Binding to local address 10.60.0.1
16:31:22.568984 Write buffer size:  200 Byte
16:31:22.569010 TCP window size: 85.0 KByte (default)
16:31:22.569036 ------------------------------------------------------------
16:31:22.569064 [  3] local 10.60.0.1 port 49115 connected with 10.0.1.24 port 5001 (ct=16.34 ms)
16:31:22.569113 [ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
16:31:22.797161 [  3] 0.2200-0.2250 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17355 us  39.19
16:31:22.797170 [  3] 0.2250-0.2300 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17355 us  36.88
16:31:22.797178 [  3] 0.2300-0.2350 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17355 us  36.88
16:31:22.818075 [  3] 0.2350-0.2400 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17355 us  39.19
16:31:22.818124 [  3] 0.2400-0.2450 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17418 us  36.75
16:31:22.818134 [  3] 0.2450-0.2500 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17418 us  36.75
16:31:22.818143 [  3] 0.2500-0.2549 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17418 us  39.05
16:31:22.838847 [  3] 0.2549-0.2599 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17418 us  36.75
16:31:22.838908 [  3] 0.2599-0.2649 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17025 us  39.95
16:31:22.838920 [  3] 0.2649-0.2699 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17025 us  37.60
16:31:22.838928 [  3] 0.2699-0.2749 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17025 us  37.60
16:31:22.838936 [  3] 0.2749-0.2799 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17025 us  39.95
16:31:22.859626 [  3] 0.2799-0.2849 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/16695 us  38.34
16:31:22.859690 [  3] 0.2849-0.2899 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/16695 us  40.74
16:31:22.859700 [  3] 0.2899-0.2949 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/16695 us  38.34
16:31:22.859708 [  3] 0.2949-0.2999 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/16695 us  38.34
16:31:22.879801 [  3] 0.2999-0.3049 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/16695 us  40.74
16:31:22.879857 [  3] 0.3049-0.3099 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/16971 us  37.72
16:31:22.879867 [  3] 0.3099-0.3149 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/16971 us  37.72
16:31:22.879876 [  3] 0.3149-0.3199 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/16971 us  40.08
16:31:22.900344 [  3] 0.3199-0.3249 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/16971 us  37.72
16:31:22.900467 [  3] 0.3249-0.3299 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/16824 us  40.43
16:31:22.900484 [  3] 0.3299-0.3349 sec  2.93 KBytes  4.80 Mbits/sec  15/0          0       35K/16824 us  35.67
16:31:22.900495 [  3] 0.3349-0.3399 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/16824 us  40.43
16:31:22.920631 [  3] 0.3399-0.3449 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/16824 us  40.43
16:31:22.920778 [  3] 0.3449-0.3499 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/16668 us  38.40
16:31:22.920798 [  3] 0.3499-0.3549 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/16668 us  38.40
16:31:22.920813 [  3] 0.3549-0.3599 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/16668 us  40.80
16:31:22.940869 [  3] 0.3599-0.3649 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/16668 us  38.40
16:31:22.940993 [  3] 0.3649-0.3699 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17511 us  36.56
16:31:22.941012 [  3] 0.3699-0.3749 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17511 us  38.84
16:31:22.941049 [  3] 0.3749-0.3799 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17511 us  36.56
16:31:22.961498 [  3] 0.3799-0.3849 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17511 us  38.84
16:31:22.961654 [  3] 0.3849-0.3899 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17775 us  36.01
16:31:22.961683 [  3] 0.3899-0.3949 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17775 us  36.01
16:31:22.961695 [  3] 0.3949-0.3999 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17775 us  38.26
16:31:22.982403 [  3] 0.3999-0.4049 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17775 us  36.01
16:31:22.982493 [  3] 0.4049-0.4099 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17862 us  38.08
16:31:22.982509 [  3] 0.4099-0.4149 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17862 us  35.84
16:31:22.982542 [  3] 0.4149-0.4199 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17862 us  35.84
16:31:23.002450 [  3] 0.4199-0.4249 sec  2.93 KBytes  4.80 Mbits/sec  15/0          0       35K/17862 us  33.60
16:31:23.002532 [  3] 0.4249-0.4299 sec  3.52 KBytes  5.76 Mbits/sec  18/0          0       35K/17907 us  40.22
16:31:23.002542 [  3] 0.4299-0.4349 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17907 us  37.98
16:31:23.002552 [  3] 0.4349-0.4399 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17907 us  35.75
16:31:23.023464 [  3] 0.4399-0.4449 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17907 us  35.75
16:31:23.023532 [  3] 0.4449-0.4499 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17469 us  38.93
16:31:23.023544 [  3] 0.4499-0.4549 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17469 us  36.64
16:31:23.023551 [  3] 0.4549-0.4599 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17469 us  36.64
16:31:23.043721 [  3] 0.4599-0.4649 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17469 us  38.93
16:31:23.043787 [  3] 0.4649-0.4699 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17078 us  37.48
16:31:23.043798 [  3] 0.4699-0.4749 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17078 us  39.83
