------------------------------------------------------------
Server listening on TCP port 5001 with pid 142318
Binding to local address 10.0.1.24
Read buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  4] local 10.0.1.24 port 5001 connected with 10.60.0.1 port 45481
[ ID] Interval            Transfer    Bandwidth       Reads   Dist(bin=16.0K)
[  4] 0.2649-0.2699 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.2699-0.2749 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.2749-0.2799 sec  3.65 KBytes  5.99 Mbits/sec  1    1:0:0:0:0:0:0:0
[  4] 0.2799-0.2849 sec  5.52 KBytes  9.04 Mbits/sec  1    1:0:0:0:0:0:0:0
[  4] 0.2849-0.2899 sec  1.30 KBytes  2.13 Mbits/sec  1    1:0:0:0:0:0:0:0
[  4] 0.2899-0.2949 sec  1.38 KBytes  2.26 Mbits/sec  1    1:0:0:0:0:0:0:0
[  4] 0.2949-0.2999 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.2999-0.3049 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.3049-0.3099 sec  2.86 KBytes  4.69 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.3099-0.3149 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.3149-0.3199 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.3199-0.3249 sec  3.46 KBytes  5.67 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.3249-0.3299 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
[  4] 0.3299-0.3349 sec  4.14 KBytes  6.78 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.3349-0.3399 sec  1.38 KBytes  2.26 Mbits/sec  1    1:0:0:0:0:0:0:0
[  4] 0.3399-0.3449 sec  4.45 KBytes  7.28 Mbits/sec  3    3:0:0:0:0:0:0:0
[  4] 0.3449-0.3499 sec  2.76 KBytes  4.52 Mbits/sec  2    2:0:0:0:0:0:0:0
