16:41:18.135719 ------------------------------------------------------------
16:41:18.135814 Client connecting to 10.0.1.24, UDP port 5001 with pid 143935
16:41:18.135825 Binding to local address 10.60.0.1
16:41:18.135834 Sending 200 byte datagrams, IPG target: 305.18 us (kalman adjust)
16:41:18.135952 UDP buffer size:  208 KByte (default)
16:41:18.135964 ------------------------------------------------------------
16:41:18.135973 [  3] local 10.60.0.1 port 34998 connected with 10.0.1.24 port 5001
16:41:18.135981 [ ID] Interval            Transfer     Bandwidth      Write/Err  PPS
16:41:18.380173 [  3] 0.2500-0.2549 sec  1.76 KBytes  2.88 Mbits/sec  9/0     1731 pps
16:41:18.380685 [  3] 0.2549-0.2599 sec  1.95 KBytes  3.20 Mbits/sec  10/0     2065 pps
16:41:18.400184 [  3] 0.2599-0.2649 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3666 pps
16:41:18.400398 [  3] 0.2649-0.2699 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3171 pps
16:41:18.400423 [  3] 0.2699-0.2749 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3500 pps
16:41:18.400439 [  3] 0.2749-0.2799 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3343 pps
16:41:18.420608 [  3] 0.2799-0.2849 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3174 pps
16:41:18.420703 [  3] 0.2849-0.2899 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3247 pps
16:41:18.420716 [  3] 0.2899-0.2949 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3428 pps
16:41:18.420724 [  3] 0.2949-0.2999 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3208 pps
16:41:18.441323 [  3] 0.2999-0.3049 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3097 pps
16:41:18.441443 [  3] 0.3049-0.3099 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3095 pps
16:41:18.441467 [  3] 0.3099-0.3149 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3263 pps
16:41:18.441477 [  3] 0.3149-0.3199 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3297 pps
16:41:18.461411 [  3] 0.3199-0.3249 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3254 pps
16:41:18.461522 [  3] 0.3249-0.3299 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3507 pps
16:41:18.461536 [  3] 0.3299-0.3349 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3091 pps
16:41:18.461544 [  3] 0.3349-0.3399 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3729 pps
16:41:18.482416 [  3] 0.3399-0.3449 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3053 pps
16:41:18.482731 [  3] 0.3449-0.3499 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3312 pps
16:41:18.482798 [  3] 0.3499-0.3549 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3287 pps
16:41:18.483104 [  3] 0.3549-0.3599 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3300 pps
16:41:18.502245 [  3] 0.3599-0.3649 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3134 pps
16:41:18.502551 [  3] 0.3649-0.3699 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3526 pps
16:41:18.502592 [  3] 0.3699-0.3749 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3266 pps
16:41:18.502613 [  3] 0.3749-0.3799 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3346 pps
16:41:18.522731 [  3] 0.3799-0.3849 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3261 pps
16:41:18.523051 [  3] 0.3849-0.3899 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3111 pps
16:41:18.523086 [  3] 0.3899-0.3949 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3491 pps
16:41:18.523101 [  3] 0.3949-0.3999 sec  2.34 KBytes  3.84 Mbits/sec  12/0     2425 pps
16:41:18.542918 [  3] 0.3999-0.4049 sec  3.91 KBytes  6.40 Mbits/sec  20/0     3946 pps
16:41:18.543252 [  3] 0.4049-0.4099 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3386 pps
16:41:18.543279 [  3] 0.4099-0.4149 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3273 pps
16:41:18.543289 [  3] 0.4149-0.4199 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3322 pps
16:41:18.564310 [  3] 0.4199-0.4249 sec  2.73 KBytes  4.48 Mbits/sec  14/0     2649 pps
16:41:18.564575 [  3] 0.4249-0.4299 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3639 pps
16:41:18.564599 [  3] 0.4299-0.4349 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3450 pps
16:41:18.564639 [  3] 0.4349-0.4399 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3408 pps
16:41:18.564747 [  3] 0.4399-0.4449 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3255 pps
16:41:18.584608 [  3] 0.4449-0.4499 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3295 pps
16:41:18.584742 [  3] 0.4499-0.4549 sec  3.12 KBytes  5.12 Mbits/sec  16/0     2994 pps
16:41:18.584755 [  3] 0.4549-0.4599 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3526 pps
16:41:18.584763 [  3] 0.4599-0.4649 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3296 pps
16:41:18.605700 [  3] 0.4649-0.4699 sec  3.32 KBytes  5.44 Mbits/sec  17/0     2897 pps
16:41:18.605988 [  3] 0.4699-0.4749 sec  2.54 KBytes  4.16 Mbits/sec  13/0     3316 pps
16:41:18.606037 [  3] 0.4749-0.4799 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3248 pps
16:41:18.606055 [  3] 0.4799-0.4849 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3489 pps
16:41:18.626424 [  3] 0.4849-0.4899 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3320 pps
16:41:18.626535 [  3] 0.4899-0.4949 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3520 pps
16:41:18.626549 [  3] 0.4949-0.4999 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3223 pps
16:41:18.626557 [  3] 0.4999-0.5049 sec  3.32 KBytes  5.44 Mbits/sec  17/0     2801 pps
16:41:18.647838 [  3] 0.5049-0.5099 sec  2.73 KBytes  4.48 Mbits/sec  14/0     3604 pps
16:41:18.647943 [  3] 0.5099-0.5149 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3709 pps
16:41:18.647956 [  3] 0.5149-0.5199 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3277 pps
16:41:18.647964 [  3] 0.5199-0.5249 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3062 pps
16:41:18.668771 [  3] 0.5249-0.5299 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3044 pps
16:41:18.668940 [  3] 0.5299-0.5349 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3328 pps
16:41:18.668966 [  3] 0.5349-0.5399 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3496 pps
16:41:18.668980 [  3] 0.5399-0.5449 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3283 pps
16:41:18.668993 [  3] 0.5449-0.5499 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3351 pps
16:41:18.689246 [  3] 0.5499-0.5549 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3332 pps
16:41:18.689343 [  3] 0.5549-0.5599 sec  3.12 KBytes  5.12 Mbits/sec  16/0     2943 pps
16:41:18.689356 [  3] 0.5599-0.5649 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3320 pps
16:41:18.689364 [  3] 0.5649-0.5699 sec  2.54 KBytes  4.16 Mbits/sec  13/0     2633 pps
16:41:18.710171 [  3] 0.5699-0.5749 sec  4.10 KBytes  6.72 Mbits/sec  21/0     4048 pps
16:41:18.710302 [  3] 0.5749-0.5799 sec  3.12 KBytes  5.12 Mbits/sec  16/0     2852 pps
16:41:18.710321 [  3] 0.5799-0.5849 sec  3.12 KBytes  5.12 Mbits/sec  16/0     4037 pps
16:41:18.710332 [  3] 0.5849-0.5899 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3231 pps
16:41:18.730624 [  3] 0.5899-0.5949 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3077 pps
16:41:18.730931 [  3] 0.5949-0.5999 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3293 pps
16:41:18.730955 [  3] 0.5999-0.6049 sec  2.73 KBytes  4.48 Mbits/sec  14/0     2688 pps
16:41:18.730963 [  3] 0.6049-0.6099 sec  2.73 KBytes  4.48 Mbits/sec  14/0     2485 pps
16:41:18.751030 [  3] 0.6099-0.6149 sec  4.10 KBytes  6.72 Mbits/sec  21/0     5766 pps
16:41:18.751173 [  3] 0.6149-0.6199 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3235 pps
16:41:18.751187 [  3] 0.6199-0.6249 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3355 pps
16:41:18.751196 [  3] 0.6249-0.6299 sec  3.12 KBytes  5.12 Mbits/sec  16/0     2810 pps
16:41:18.772075 [  3] 0.6299-0.6349 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3509 pps
16:41:18.772296 [  3] 0.6349-0.6399 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3281 pps
16:41:18.772328 [  3] 0.6399-0.6449 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3452 pps
16:41:18.772348 [  3] 0.6449-0.6499 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3393 pps
16:41:18.792479 [  3] 0.6499-0.6549 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3304 pps
16:41:18.792586 [  3] 0.6549-0.6599 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3294 pps
16:41:18.792605 [  3] 0.6599-0.6649 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3245 pps
16:41:18.792618 [  3] 0.6649-0.6699 sec  3.12 KBytes  5.12 Mbits/sec  16/0     2859 pps
16:41:18.813226 [  3] 0.6699-0.6749 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3565 pps
