20:55:01.998425 Connecting to host 10.0.1.24, port 5201
20:55:01.998547 [  5] local 10.60.0.1 port 56145 connected to 10.0.1.24 port 5201
20:55:01.998560 [ ID] Interval           Transfer     Bitrate         Retr  Cwnd
20:55:07.598564 [  5]   5.60-5.70   sec   128 KBytes  10.6 Mbits/sec    0    131 KBytes       
20:55:07.699133 [  5]   5.70-5.80   sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:07.801969 [  5]   5.80-5.90   sec   128 KBytes  10.2 Mbits/sec    0    131 KBytes       
20:55:07.898461 [  5]   5.90-6.00   sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:07.998383 [  5]   6.00-6.10   sec   128 KBytes  10.5 Mbits/sec    0    131 KBytes       
20:55:08.099512 [  5]   6.10-6.20   sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:08.198411 [  5]   6.20-6.30   sec   128 KBytes  10.6 Mbits/sec    0    131 KBytes       
20:55:08.298459 [  5]   6.30-6.40   sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:08.398554 [  5]   6.40-6.50   sec   128 KBytes  10.5 Mbits/sec    0    131 KBytes       
20:55:08.498311 [  5]   6.50-6.60   sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:08.598852 [  5]   6.60-6.70   sec   128 KBytes  10.4 Mbits/sec    0    131 KBytes       
20:55:08.698387 [  5]   6.70-6.80   sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:08.798726 [  5]   6.80-6.90   sec   128 KBytes  10.4 Mbits/sec    0    131 KBytes       
20:55:08.899233 [  5]   6.90-7.00   sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:08.999197 [  5]   7.00-7.10   sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:09.099010 [  5]   7.10-7.20   sec   128 KBytes  10.5 Mbits/sec    0    105 KBytes       
20:55:09.198773 [  5]   7.20-7.30   sec  0.00 Bytes  0.00 bits/sec    0    105 KBytes       
20:55:09.299309 [  5]   7.30-7.40   sec   128 KBytes  10.4 Mbits/sec    0    112 KBytes       
